mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-144-3p,Celf2,ENSRNOG00000023661,144,ENSRNOG00000035647
rno-miR-141-3p,Elavl4,ENSRNOG00000023601,141,ENSRNOG00000035577
rno-miR-132-3p,Grin2a,ENSRNOG00000033942,132,ENSRNOG00000035516
rno-miR-21-5p,Elavl4,ENSRNOG00000023601,21,ENSRNOG00000035480
rno-miR-16-5p,Arl2,ENSRNOG00000021010,16,ENSRNOG00000035504
rno-miR-15b-5p,Arl2,ENSRNOG00000021010,15b,ENSRNOG00000035483
rno-miR-143-3p,Mapk7,ENSRNOG00000047907,143,ENSRNOG00000035603
rno-miR-26b-5p,Pten,ENSRNOG00000020723,26b,ENSRNOG00000035608
rno-miR-101a-3p,Tyr,ENSRNOG00000016421,101a,ENSRNOG00000035599
rno-miR-101a-3p,Sox9,ENSRNOG00000002607,101a,ENSRNOG00000035599
rno-miR-182,Cebpa,ENSRNOG00000010918,182,ENSRNOG00000068116
rno-miR-141-3p,Zeb2,ENSRNOG00000004677,141,ENSRNOG00000035577
rno-miR-429,Zeb1,ENSRNOG00000017863,429,ENSRNOG00000035595
rno-miR-429,Zeb2,ENSRNOG00000004677,429,ENSRNOG00000035595
rno-miR-212-3p,Cyp2e1,ENSRNOG00000012458,212,ENSRNOG00000035476
rno-miR-132-3p,Cyp2e1,ENSRNOG00000012458,132,ENSRNOG00000035516
rno-miR-212-3p,Pten,ENSRNOG00000020723,212,ENSRNOG00000035476
rno-miR-132-3p,Foxo3,ENSRNOG00000000299,132,ENSRNOG00000035516
rno-miR-212-3p,Foxo3,ENSRNOG00000000299,212,ENSRNOG00000035476
rno-miR-181c-5p,COX1,ENSRNOG00000034234,181c,ENSRNOG00000035569
rno-miR-150-5p,Gpnmb,ENSRNOG00000008816,150,ENSRNOG00000035560
rno-miR-140-5p,Sirt1,ENSRNOG00000051592,140,ENSRNOG00000035609
rno-miR-107-3p,Pdcd10,ENSRNOG00000010147,107,ENSRNOG00000035639
rno-miR-26b-5p,Trpc3,ENSRNOG00000016070,26b,ENSRNOG00000035608
rno-miR-107-3p,Arnt,ENSRNOG00000031174,107,ENSRNOG00000035639
rno-miR-363-3p,E2f3,ENSRNOG00000029273,363,ENSRNOG00000036273
rno-miR-17-5p,Txnip,ENSRNOG00000021201,17,ENSRNOG00000035657
rno-miR-216a-5p,Pten,ENSRNOG00000020723,216a,ENSRNOG00000035514
rno-miR-98-5p,Bcl2l1,ENSRNOG00000007946,98,ENSRNOG00000035656
rno-miR-101a-3p,Ranbp9,ENSRNOG00000017951,101a,ENSRNOG00000035599
rno-miR-375-3p,Rasd1,ENSRNOG00000003348,375,ENSRNOG00000035455
rno-miR-30b-5p,Bmp7,ENSRNOG00000053384,30b,ENSRNOG00000053467
rno-miR-26a-5p,Pten,ENSRNOG00000020723,26a,ENSRNOG00000035582
rno-miR-146a-5p,Nfkb1,ENSRNOG00000023258,146a,ENSRNOG00000035466
rno-miR-27b-3p,Sp1,ENSRNOG00000014084,27b,ENSRNOG00000035576
rno-miR-206-3p,Hif1a,ENSRNOG00000008292,206,ENSRNOG00000035498
rno-miR-145-5p,Camk2g,ENSRNOG00000009783,145,ENSRNOG00000035474
rno-miR-34a-5p,Bcl2,ENSRNOG00000067693,34a,ENSRNOG00000035623
rno-miR-30a-5p,Becn1,ENSRNOG00000020513,30a,ENSRNOG00000035646
rno-miR-195-5p,App,ENSRNOG00000006997,195,ENSRNOG00000035638
rno-miR-139-5p,Pafah1b1,ENSRNOG00000002755,139,ENSRNOG00000035601
rno-miR-146a-5p,Irak1,ENSRNOG00000060869,146a,ENSRNOG00000035466
rno-miR-146a-5p,Traf6,ENSRNOG00000004639,146a,ENSRNOG00000035466
rno-miR-132-3p,Lrrfip1,ENSRNOG00000019892,132,ENSRNOG00000035516
rno-miR-144-3p,Pten,ENSRNOG00000020723,144,ENSRNOG00000035647
rno-miR-145-5p,Tsc2,ENSRNOG00000011375,145,ENSRNOG00000035474
rno-miR-21-5p,Rela,ENSRNOG00000030888,21,ENSRNOG00000035480
rno-miR-27b-3p,Ccl2,ENSRNOG00000007159,27b,ENSRNOG00000035576
rno-miR-672-5p,Tnfsf10,ENSRNOG00000067968,672,ENSRNOG00000040357
rno-miR-672-5p,Fndc1,ENSRNOG00000030210,672,ENSRNOG00000040357
rno-miR-98-5p,Stat3,ENSRNOG00000019742,98,ENSRNOG00000035656
rno-miR-652-3p,Jag1,ENSRNOG00000007443,652,ENSRNOG00000040458
rno-miR-21-5p,Ski,ENSRNOG00000055340,21,ENSRNOG00000035480
rno-miR-17-5p,Hspa4,ENSRNOG00000016596,17,ENSRNOG00000035657
rno-miR-17-5p,Hspa8,ENSRNOG00000034066,17,ENSRNOG00000035657
rno-miR-17-5p,Canx,ENSRNOG00000003343,17,ENSRNOG00000035657
rno-miR-17-5p,Golga2,ENSRNOG00000011884,17,ENSRNOG00000035657
rno-miR-206-3p,Bdnf,ENSRNOG00000047466,206,ENSRNOG00000035498
rno-miR-144-3p,Tlr2,ENSRNOG00000009822,144,ENSRNOG00000035647
rno-miR-181c-5p,Tlr4,ENSRNOG00000010522,181c,ENSRNOG00000035569
rno-miR-16-5p,Ccnd1,ENSRNOG00000020918,16,ENSRNOG00000035504
rno-miR-16-5p,Ccnd2,ENSRNOG00000062959,16,ENSRNOG00000035504
rno-miR-16-5p,Ccne1,ENSRNOG00000014786,16,ENSRNOG00000035504
rno-miR-30a-5p,Psen2,ENSRNOG00000002879,30a,ENSRNOG00000035646
rno-miR-34a-5p,Acsl1,ENSRNOG00000010633,34a,ENSRNOG00000035623
rno-miR-433-3p,Hif1a,ENSRNOG00000008292,433,ENSRNOG00000036497
rno-miR-27a-3p,Foxo3,ENSRNOG00000000299,27a,ENSRNOG00000035597
rno-miR-99a-5p,Bmpr2,ENSRNOG00000022196,99a,ENSRNOG00000035524
rno-miR-17-5p,Wif1,ENSRNOG00000004476,17,ENSRNOG00000035657
rno-miR-27a-3p,Irak4,ENSRNOG00000005965,27a,ENSRNOG00000035597
rno-miR-27a-3p,Tlr4,ENSRNOG00000010522,27a,ENSRNOG00000035597
rno-miR-200b-5p,Errfi1,ENSRNOG00000058186,200b,ENSRNOG00000035508
rno-miR-187-3p,Kcnk10,ENSRNOG00000003813,187,ENSRNOG00000035521
rno-miR-187-3p,Dyrk1a,ENSRNOG00000001662,187,ENSRNOG00000035521
rno-miR-21-5p,Smad7,ENSRNOG00000018359,21,ENSRNOG00000035480
rno-miR-34a-3p,Ldha,ENSRNOG00000013009,34a,ENSRNOG00000035623
rno-miR-141-3p,Dapk1,ENSRNOG00000018198,141,ENSRNOG00000035577
rno-miR-132-3p,Mapk1,ENSRNOG00000001849,132,ENSRNOG00000035516
rno-miR-34a-3p,Tcf4,ENSRNOG00000012405,34a,ENSRNOG00000035623
rno-miR-34a-3p,Ube2g1,ENSRNOG00000010041,34a,ENSRNOG00000035623
rno-miR-146b-5p,Fn1,ENSRNOG00000014288,146b,ENSRNOG00000040448
rno-miR-205,Gnb3,ENSRNOG00000015541,205,ENSRNOG00000035520
rno-miR-142-3p,Pink1,ENSRNOG00000015385,142,ENSRNOG00000035633
rno-miR-34a-3p,Crhr1,ENSRNOG00000004900,34a,ENSRNOG00000035623
rno-miR-34c-3p,Crhr1,ENSRNOG00000004900,34c,ENSRNOG00000035478
rno-miR-148a-3p,Synj1,ENSRNOG00000002051,148a,ENSRNOG00000046475
rno-miR-155-3p,Tlr4,ENSRNOG00000010522,155,ENSRNOG00000050840
rno-miR-21-3p,Tlr4,ENSRNOG00000010522,21,ENSRNOG00000035480
rno-miR-146a-3p,Tlr4,ENSRNOG00000010522,146a,ENSRNOG00000035466
rno-miR-674-3p,Sgk1,ENSRNOG00000011815,674,ENSRNOG00000040429
rno-let-7i-5p,Ntrk3,ENSRNOG00000018674,let7i,ENSRNOG00000035642
rno-miR-433-3p,Runx2,ENSRNOG00000020193,433,ENSRNOG00000036497
rno-miR-433-3p,Creb1,ENSRNOG00000013412,433,ENSRNOG00000036497
rno-miR-433-3p,Rspo3,ENSRNOG00000011568,433,ENSRNOG00000036497
rno-miR-1b,Klf7,ENSRNOG00000046242,1b,ENSRNOG00000057048
rno-miR-1b,Map2,ENSRNOG00000011841,1b,ENSRNOG00000057048
rno-miR-1b,Ngf,ENSRNOG00000016571,1b,ENSRNOG00000057048
rno-miR-23b-3p,Epc1,ENSRNOG00000014834,23b,ENSRNOG00000035467
rno-miR-383-3p,Atf4,ENSRNOG00000017801,383,ENSRNOG00000035589
rno-miR-324-5p,Ran,ENSRNOG00000000938,324,ENSRNOG00000035519
rno-miR-20a-5p,Tcf4,ENSRNOG00000012405,20a,ENSRNOG00000035605
rno-miR-20a-5p,Cdc6,ENSRNOG00000027787,20a,ENSRNOG00000035605
rno-miR-195-3p,Fasn,ENSRNOG00000045636,195,ENSRNOG00000035638
rno-miR-125a-5p,Hmgcr,ENSRNOG00000016122,125a,ENSRNOG00000035572
rno-miR-149-5p,Faslg,ENSRNOG00000002978,149,ENSRNOG00000050999
rno-miR-26a-3p,Pten,ENSRNOG00000020723,26a,ENSRNOG00000035582
rno-miR-23a-5p,Pten,ENSRNOG00000020723,23a,ENSRNOG00000035644
rno-miR-26b-5p,Keap1,ENSRNOG00000020878,26b,ENSRNOG00000035608
rno-miR-155-5p,Mep1a,ENSRNOG00000011022,155,ENSRNOG00000050840
rno-miR-34a-5p,Nampt,ENSRNOG00000009754,34a,ENSRNOG00000035623
rno-miR-3568,Gata6,ENSRNOG00000023433,3568,ENSRNOG00000050512
rno-miR-3568,Rbpj,ENSRNOG00000046327,3568,ENSRNOG00000050512
rno-miR-214-3p,Egr1,ENSRNOG00000019422,214,ENSRNOG00000035513
rno-miR-764-5p,Egr1,ENSRNOG00000019422,764,ENSRNOG00000040427
rno-miR-3574,Axin1,ENSRNOG00000062714,3574,ENSRNOG00000035616
rno-miR-3591,Hyou1,ENSRNOG00000010944,3591,ENSRNOG00000035602
rno-miR-181a-2-3p,Hyou1,ENSRNOG00000010944,181a2,ENSRNOG00000035630
rno-miR-6321,Hyou1,ENSRNOG00000010944,6321,ENSRNOG00000049481
rno-miR-181a-2-3p,Chac1,ENSRNOG00000014387,181a2,ENSRNOG00000035630
rno-miR-3591,Chac1,ENSRNOG00000014387,3591,ENSRNOG00000035602
rno-miR-181a-2-3p,Bloc1s3,ENSRNOG00000017463,181a2,ENSRNOG00000035630
rno-miR-6321,Bloc1s3,ENSRNOG00000017463,6321,ENSRNOG00000049481
rno-miR-223-3p,Igf1r,ENSRNOG00000014187,223,ENSRNOG00000035505
rno-miR-93-5p,Limk1,ENSRNOG00000001470,93,ENSRNOG00000035485
rno-miR-21-5p,Tlr7,ENSRNOG00000004249,21,ENSRNOG00000035480
rno-miR-489-3p,Igf1,ENSRNOG00000004517,489,ENSRNOG00000036271
rno-miR-375-3p,Foxp1,ENSRNOG00000009184,375,ENSRNOG00000035455
rno-miR-547-5p,Il33,ENSRNOG00000016456,547,ENSRNOG00000052097
rno-miR-182,Foxo3,ENSRNOG00000000299,182,ENSRNOG00000068116
rno-miR-301a-3p,Il10,ENSRNOG00000004647,301a,ENSRNOG00000035586
rno-miR-23b-3p,Nrp1,ENSRNOG00000010744,23b,ENSRNOG00000035467
rno-miR-21-3p,Tp53,ENSRNOG00000010756,21,ENSRNOG00000035480
rno-miR-29b-1-5p,Mtdh,ENSRNOG00000006870,29b1,ENSRNOG00000035463
rno-miR-327,Arc,ENSRNOG00000043465,327,ENSRNOG00000059368
rno-miR-423-5p,Pcna,ENSRNOG00000021264,423,ENSRNOG00000035537
rno-miR-125a-3p,Suv39h1,ENSRNOG00000039576,125a,ENSRNOG00000035572
rno-miR-22-5p,Rap1a,ENSRNOG00000032463,22,ENSRNOG00000035620
rno-miR-206-3p,Mpz,ENSRNOG00000003171,206,ENSRNOG00000035498
rno-miR-223-3p,Mpz,ENSRNOG00000003171,223,ENSRNOG00000035505
rno-miR-200b-3p,Reck,ENSRNOG00000014863,200b,ENSRNOG00000035508
rno-miR-152-5p,Atg14,ENSRNOG00000011873,152,ENSRNOG00000035539
rno-miR-146a-5p,Tlr4,ENSRNOG00000010522,146a,ENSRNOG00000035466
rno-miR-342-3p,Grm2,ENSRNOG00000013171,342,ENSRNOG00000035612
rno-miR-223-3p,Lif,ENSRNOG00000007002,223,ENSRNOG00000035505
rno-miR-363-5p,Hmgcs2,ENSRNOG00000019120,363,ENSRNOG00000036273
rno-miR-135a-5p,Bmpr2,ENSRNOG00000022196,135a,ENSRNOG00000035529
rno-miR-22-3p,Pten,ENSRNOG00000020723,22,ENSRNOG00000035620
rno-miR-22-5p,Pten,ENSRNOG00000020723,22,ENSRNOG00000035620
rno-miR-205,Pten,ENSRNOG00000020723,205,ENSRNOG00000035520
rno-miR-214-3p,Cpt2,ENSRNOG00000012443,214,ENSRNOG00000035513
rno-miR-181d-5p,Nfia,ENSRNOG00000006966,181d,ENSRNOG00000036417
rno-miR-126a-5p,Cyp7a1,ENSRNOG00000009488,126a,ENSRNOG00000035591
rno-miR-291a-5p,Prkaa2,ENSRNOG00000007706,291a,ENSRNOG00000051974
rno-miR-26b-3p,Fzd10,ENSRNOG00000022784,26b,ENSRNOG00000035608
rno-miR-154-5p,Smurf1,ENSRNOG00000000999,154,ENSRNOG00000035600
rno-miR-182,Tcf7l2,ENSRNOG00000049232,182,ENSRNOG00000068116
rno-miR-34c-5p,Atg4b,ENSRNOG00000018403,34c,ENSRNOG00000035478
rno-miR-6315,Smox,ENSRNOG00000021255,6315,ENSRNOG00000046320
rno-miR-183-5p,Itgb1,ENSRNOG00000010966,183,ENSRNOG00000035451
rno-miR-214-3p,Foxm1,ENSRNOG00000005936,214,ENSRNOG00000035513
rno-miR-326-3p,Foxm1,ENSRNOG00000005936,326,ENSRNOG00000035506
rno-let-7b-5p,Hmga2,ENSRNOG00000042460,let7b,ENSRNOG00000035636
rno-miR-10b-5p,Tgfb2,ENSRNOG00000002418,10b,ENSRNOG00000035554
rno-miR-329-3p,E2f1,ENSRNOG00000016708,329,ENSRNOG00000035487
